timestamp,gt_x,gt_y,kf_x,kf_y,ekf_x,ekf_y,pf_x,pf_y
1311.571000,-2.881695,0.149053,-2.825700,-0.288582,-2.835745,0.202831,-2.563211,0.084780
1311.771000,-2.914195,0.167361,-2.855007,-0.260614,-2.867863,0.221429,-2.608512,0.103857
1312.071000,-2.968298,0.198315,-2.913427,-0.239009,-2.931271,0.258141,-2.648165,0.129963
1312.371000,-3.023638,0.230195,-2.950741,-0.241292,-2.995206,0.296582,-2.707398,0.196103
1312.571000,-3.071834,0.256799,-2.978237,-0.233122,-3.025603,0.313497,-2.737688,0.214972
1312.771000,-3.103274,0.272832,-3.014229,-0.233515,-3.057716,0.330513,-2.773558,0.238992
1313.071000,-3.154935,0.298125,-3.066809,-0.243947,-3.122467,0.365452,-2.812678,0.258294
1313.371000,-3.213451,0.325574,-3.105280,-0.234617,-3.168204,0.388405,-2.885267,0.306999
1313.671000,-3.268323,0.351724,-3.149552,-0.234238,-3.231714,0.422166,-2.920872,0.336271
1313.771000,-3.285596,0.360061,-3.172232,-0.229578,-3.263942,0.438749,-2.948864,0.356502
1313.971000,-3.323777,0.378411,-3.203808,-0.216895,-3.296809,0.456360,-2.979990,0.378025
1314.171000,-3.372788,0.402389,-3.243337,-0.182862,-3.328811,0.473298,-3.015253,0.390346
1314.371000,-3.404983,0.418390,-3.270629,-0.165360,-3.359823,0.489719,-3.045678,0.400961
1314.671000,-3.457503,0.444841,-3.319486,-0.141817,-3.423677,0.524359,-3.083555,0.423437
1314.971000,-4.754945,2.922617,-3.387374,-0.141903,-3.484987,0.557552,-4.934243,3.858348
1315.171000,-4.773357,2.931645,-3.406317,-0.158543,-3.487289,0.559768,-4.965193,3.870194
1315.371000,-4.773410,2.931714,-3.416547,-0.154089,-3.488475,0.559776,-4.981655,3.872050
1315.571000,-4.780669,2.935288,-3.460076,-0.152842,-3.493524,0.564526,-5.021837,3.844401
1315.871000,-4.817509,2.953035,-3.483510,-0.113225,-3.539726,0.587881,-5.090665,3.804413
1316.171000,-4.867447,2.971577,-3.518646,-0.078171,-3.590829,0.605651,-5.283716,3.808229
1316.371000,-4.904378,2.981815,-3.535205,-0.068503,-3.617815,0.613769,-5.324288,3.775649
